Actual,Predicted,Error
0.0,81.309364,-81.309364
76.5,80.66241,-4.162407
68.0,81.08322,-13.083221
76.5,79.072426,-2.5724258
76.5,84.81332,-8.313316
76.5,85.05439,-8.55439
58.67,94.25101,-35.58101
68.0,84.74121,-16.74121
76.5,88.028244,-11.528244
76.5,88.028244,-11.528244
86.0,109.43067,-23.430672
43.0,103.237755,-60.237755
86.0,109.43067,-23.430672
63.0,105.802345,-42.802345
86.0,100.76378,-14.763779
63.0,81.910805,-18.910805
63.0,92.324005,-29.324005
86.0,109.43067,-23.430672
86.0,109.43067,-23.430672
63.0,92.324005,-29.324005
86.0,100.76378,-14.763779
63.75,60.99187,2.7581291
86.0,109.43067,-23.430672
86.0,109.43067,-23.430672
76.5,84.66427,-8.1642685
60.27,6.3569493,53.91305
68.0,82.07625,-14.076248
68.0,85.08027,-17.080269
76.5,86.015816,-9.515816
60.0,75.13996,-15.139961
55.8,4.4079127,51.392086
52.36,90.88308,-38.52308
49.74,85.395744,-35.655743
76.5,87.61477,-11.114769
68.0,73.21672,-5.2167206
68.0,76.18778,-8.187782
93.6,115.77864,-22.178642
76.5,84.449814,-7.949814
76.5,90.98474,-14.484741
76.5,84.620285,-8.120285
76.5,87.63019,-11.130188
68.0,93.185104,-25.185104
68.0,84.923805,-16.923805
81.0,88.69509,-7.6950912
76.08,100.623726,-24.543724
76.5,77.22028,-0.7202835
76.5,76.445274,0.054725647
37.33,-1.674428,39.00443
76.5,92.44158,-15.941582
90.0,88.69509,1.3049088
45.0,147.0636,-102.0636
45.0,148.00223,-103.00223
76.5,87.42436,-10.924362
62.37,105.30947,-42.939472
48.6,6.202421,42.397575
48.6,6.202421,42.397575
48.6,103.893456,-55.293457
62.0,96.66074,-34.660744
76.5,84.7414,-8.241402
67.5,84.58076,-17.080757
76.5,82.19124,-5.6912384
76.5,100.49331,-23.993309
76.5,88.6661,-12.1661
68.85,94.06569,-25.21569
68.85,4.8733473,63.97665
100.0,127.11207,-27.112068
76.5,89.19832,-12.6983185
58.9,100.22716,-41.327156
63.75,54.98879,8.761211
68.85,96.51489,-27.664894
76.5,82.722534,-6.222534
68.0,73.67282,-5.672821
106.25,114.66504,-8.415039
58.9,95.05473,-36.15473
58.9,95.05473,-36.15473
51.96,5.7552943,46.204704
75.0,90.92215,-15.92215
51.96,5.7552943,46.204704
104.0,117.83727,-13.837273
76.5,89.75503,-13.255028
94.5,103.004196,-8.504196
94.5,103.004196,-8.504196
76.5,97.630005,-21.130005
76.5,92.62881,-16.128807
94.5,103.004196,-8.504196
94.5,69.28955,25.21045
138.5,158.432,-19.932007
55.96,100.22346,-44.26346
94.5,103.004196,-8.504196
94.5,103.004196,-8.504196
72.5,85.642006,-13.142006
94.5,69.28955,25.21045
94.5,69.28955,25.21045
94.5,103.004196,-8.504196
94.5,69.28955,25.21045
72.5,85.642006,-13.142006
94.5,103.004196,-8.504196
94.5,69.28955,25.21045
94.5,69.28955,25.21045
94.5,103.004196,-8.504196
94.5,69.28955,25.21045
55.96,100.22346,-44.26346
72.5,85.642006,-13.142006
58.9,99.76595,-40.86595
94.5,103.004196,-8.504196
94.5,103.004196,-8.504196
94.5,103.004196,-8.504196
94.5,103.004196,-8.504196
94.5,69.28955,25.21045
76.5,92.62881,-16.128807
94.5,103.004196,-8.504196
94.5,69.28955,25.21045
138.5,158.432,-19.932007
94.5,103.004196,-8.504196
94.5,69.28955,25.21045
94.5,69.28955,25.21045
76.5,95.56377,-19.063766
76.5,103.20179,-26.70179
63.75,80.95267,-17.202667
76.5,109.7862,-33.2862
76.5,74.830315,1.6696854
91.33,109.7862,-18.4562
76.5,109.7862,-33.2862
91.33,121.462395,-30.132393
76.5,74.830315,1.6696854
91.33,109.7862,-18.4562
76.5,81.5582,-5.058197
67.15,92.721664,-25.571663
76.5,101.46165,-24.961647
